Sample No. , E_mu, beta, sig_y, sig_mu, rho
 True value: ,0.1, 0.9, 0.15, 0.1, -0.5
Starting point: , 0.05, 0.5, 1, 1, -0.8
1 , 0.0800554, 0.85981, 0.120526, 0.117845, -0.867818
2 , 0.0804919, 0.907826, 0.144694, 0.0916685, -0.811095
3 , 0.0806643, 0.920253, 0.152075, 0.0840643, -0.77873
4 , 0.0803982, 0.900348, 0.139871, 0.0961368, -0.834367
5 , 0.0802622, 0.922324, 0.152355, 0.0830731, -0.792609
6 , 0.0808795, 0.92761, 0.197667, 0.073471, -0.0783252
7 , 0.0805346, 0.921122, 0.152722, 0.0834244, -0.776307
8 , 0.0800084, 0.917772, 0.163573, 0.0830524, -0.529976
9 , 0.0804928, 0.879313, 0.129624, 0.107684, -0.848583
10 , 0.0810003, 0.915275, 0.148155, 0.0873904, -0.798903
11 , 0.0803105, 0.916231, 0.14879, 0.0866494, -0.79957
12 , 0.080731, 0.898116, 0.138445, 0.0975393, -0.827872
13 , 0.0792058, 0.91345, 0.148114, 0.0881723, -0.791896
14 , 0.0813152, 0.913996, 0.147357, 0.0881694, -0.809114
15 , 0.0816432, 0.904177, 0.142026, 0.093937, -0.819798
16 , 0.0799664, 0.880794, 0.130214, 0.106989, -0.844613
17 , 0.0796968, 0.893128, 0.135966, 0.100418, -0.836803
18 , 0.0785821, 0.922037, 0.167885, 0.0800439, -0.487274
19 , 0.0805256, 0.89332, 0.136333, 0.10003, -0.831951
20 , 0.079491, 0.915718, 0.148297, 0.0871537, -0.806001
21 , 0.0801288, 0.895415, 0.137469, 0.0990087, -0.831156
22 , 0.0838155, 0.933878, 0.268901, 0.0641087, 0.854334
23 , 0.0807938, 0.910568, 0.145571, 0.0901671, -0.809257
24 , 0.0794276, 0.891489, 0.134865, 0.101272, -0.844572
25 , 0.0804512, 0.904322, 0.141903, 0.093852, -0.823817
26 , 0.0798109, 0.916992, 0.150671, 0.0860126, -0.781033
27 , 0.0812141, 0.911646, 0.146776, 0.0893358, -0.801108
28 , 0.0809891, 0.92417, 0.154089, 0.0818829, -0.770694
29 , 0.0797913, 0.910063, 0.145064, 0.0906035, -0.81064
30 , 0.0802874, 0.912487, 0.14633, 0.0891902, -0.806032

Elapsed Time in total: 2331.52 [sec]
